Days,Climate,Temperature 
Sunday,Rainy,20
Monday,Rainy,21
Tuesday,Rainy,21
Wednesday,Rainy,23
Thursday,Rainy,24
Friday,Sunny,23
Saturday,Sunny,23
Sunday,Sunny,24
Monday,Rainy,24
Tuesday,Rainy,25
Wednesday,Sunny,24
Thursday,Rainy,25
Friday,Sunny,26
Saturday,Rainy,25
Sunday,Sunny,26
Monday,Rainy,25
Tuesday,Sunny,26
Wednesday,Rainy,25
Thursday,Rainy,26
Friday,Sunny,25
Saturday,Sunny,25
Sunday,Sunny,25
Monday,Sunny,27
Tuesday,Rainy,27
Wednesday,Sunny,28
Thursday,Sunny,27
Friday,Rainy,28
Saturday,Sunny,29
